"Date","Open","High","Low","Close"
"06 Jun 2018","12218.85","12784.60","12148.80","12757.45"
"05 Jun 2018","12736.75","12739.95","12372.20","12448.70"
"04 Jun 2018","13185.4","13218.45","12865.35","12886.8"
"01 Jun 2018","13428","13527.95","13212.65","13235.85"
"31 May 2018","13674.65","13700.75","13414.3","13583.45"
"30 May 2018","13559.9","13686.45","13512.55","13605.05"
"29 May 2018","13580.9","13772.25","13516.4","13660.75"
"28 May 2018","13388.35","13545.5","13333.25","13530.35"
"25 May 2018","13115.55","13324.35","13111.2","13306.95"
"24 May 2018","13259.9","13335.15","13027.25","13102"
"23 May 2018","13279.6","13419.45","13152.25","13181.6"
"22 May 2018","13055.45","13336.6","13051.6","13271.5"
"21 May 2018","13471.9","13511.25","13096.2","13134.5"
"18 May 2018","13827.15","13829.15","13477.55","13512.9"
"17 May 2018","13755.5","13894.5","13724.95","13823.35"
"16 May 2018","13491.45","13692.85","13370.45","13654.8"
"15 May 2018","13595.1","13807","13483.3","13535.5"
"14 May 2018","13845.4","13855.05","13616.65","13651.6"
"11 May 2018","14112.85","14140.95","13772.8","13826.15"
"10 May 2018","14362.75","14434.35","13990.65","14022"
"09 May 2018","14115","14364.3","14090.55","14287.3"
"08 May 2018","14148.35","14193.6","14032.2","14110"
"07 May 2018","13953.9","14081.05","13936.25","14055"
"04 May 2018","13868.5","13910.25","13794.8","13867.6"
"03 May 2018","14039.35","14042.6","13813.9","13868"
"02 May 2018","14189.7","14217.9","13939.35","14053.75"
"30 Apr 2018","13934.3","14158.85","13915.5","14120.65"
"27 Apr 2018","13880.7","13973.8","13817.9","13848.05"
"26 Apr 2018","13899.2","13963.15","13726.8","13835"
"25 Apr 2018","13703.8","13945.05","13698.95","13823.8"
"24 Apr 2018","13663.85","13800.05","13640.75","13688.15"
"23 Apr 2018","13662.9","13732.3","13590.45","13620.1"
"20 Apr 2018","13445.25","13599.25","13391.1","13585.35"
"19 Apr 2018","13485.95","13491.85","13274.2","13465.8"
"18 Apr 2018","13450.4","13514.15","13372","13429.65"
"17 Apr 2018","13492.9","13549.3","13356.05","13387.15"
"16 Apr 2018","13010.8","13437.85","12975.9","13422.95"
"13 Apr 2018","13003.2","13135.7","12979.45","13086.75"
"12 Apr 2018","13052.7","13062.8","12915.6","12935.45"
"11 Apr 2018","13071.95","13094.35","12986.3","13041.15"
"10 Apr 2018","13147.35","13163.4","13000.45","13026.5"
"09 Apr 2018","13078.9","13994.65","12852.7","13063.95"
"06 Apr 2018","13014.95","13120.35","12908.55","13089.4"
"05 Apr 2018","12892.8","12995","12826.15","12974.15"
"04 Apr 2018","13120.05","13166.3","12684.4","12701.6"
"03 Apr 2018","12900.9","13054.6","12895.05","13042.75"
"02 Apr 2018","12637.55","12964.35","12636.2","12938.5"
"28 Mar 2018","12656.9","12684.75","12536.4","12558.6"
"27 Mar 2018","12745.6","12859.05","12727.95","12746.1"
"26 Mar 2018","12518.05","12663.3","12427.95","12634.15"
"23 Mar 2018","12472.85","12558.55","12393.1","12545.5"
"22 Mar 2018","12959.25","13004.9","12781.6","12795.9"
"21 Mar 2018","12962.9","13081.2","12900","12929.2"
"20 Mar 2018","12681.6","12923.35","12634.25","12863"
"19 Mar 2018","13123","13162.15","12741.7","12767.85"
"16 Mar 2018","13213.8","13252.25","13020.65","13067.35"
"15 Mar 2018","13126.85","13230.1","13117.55","13164.85"
"14 Mar 2018","13118.8","13203.9","13050.35","13117.45"
"13 Mar 2018","12988.55","13282.1","12959.85","13189.5"
"12 Mar 2018","12952.35","12994.3","12833.25","12973.25"
"09 Mar 2018","12858.35","12893.5","12700.55","12818.4"
"08 Mar 2018","12775.85","12861.05","12509.3","12772.65"
"07 Mar 2018","12822.45","12834.3","12624.8","12656.8"
"06 Mar 2018","13172.15","13261.4","12802","12866.1"
"05 Mar 2018","13181.65","13185.65","12998.65","13082.75"
"01 Mar 2018","13300.85","13377.85","13187.85","13202"
"28 Feb 2018","13277.55","13370.9","13193.5","13309.95"
"27 Feb 2018","13561.9","13574.45","13387.85","13408.2"
"26 Feb 2018","13507.5","13546.3","13450.4","13518.5"
"23 Feb 2018","13203.3","13417.85","13191.5","13400.75"
"22 Feb 2018","13158.75","13210.4","13104.4","13139.2"
"21 Feb 2018","13285.75","13294.95","13120.9","13223.85"
"20 Feb 2018","13211.65","13303.65","13077","13167.4"
"19 Feb 2018","13389.6","13390.25","13031.9","13174.9"
"16 Feb 2018","13625.65","13666.1","13241.6","13326.45"
"15 Feb 2018","13707.65","13713.55","13432","13505.4"
"14 Feb 2018","13723.7","13786.95","13575.85","13619.1"
"12 Feb 2018","13483.1","13671.65","13465.75","13583.95"
"09 Feb 2018","12874.35","13353.15","12869.4","13291.45"
"08 Feb 2018","13037.95","13297.15","13019.3","13264.9"
"07 Feb 2018","12986.8","13082.35","12844.4","12952.1"
"06 Feb 2018","12089.3","12822.9","12031.3","12692.75"
"05 Feb 2018","","","","12996.7"
"02 Feb 2018","","","","12972.39"
"01 Feb 2018","","","","13868.03"
"31 Jan 2018","","","","13876.97"
"30 Jan 2018","","","","14199.9"
"29 Jan 2018","","","","14472.67"
"25 Jan 2018","","","","14687.35"
"24 Jan 2018","","","","14781.25"
"23 Jan 2018","","","","15055.73"
"22 Jan 2018","","","","14901.61"
"19 Jan 2018","","","","14710.81"
"18 Jan 2018","","","","14478.41"
"17 Jan 2018","","","","14782.04"
"16 Jan 2018","","","","14600.53"
"15 Jan 2018","","","","14948.61"
"12 Jan 2018","","","","14953.02"
"11 Jan 2018","","","","14935.32"
"10 Jan 2018","","","","14901.53"
"09 Jan 2018","","","","14894.3"
"08 Jan 2018","","","","14867.84"
"05 Jan 2018","","","","14624.23"
"04 Jan 2018","","","","14488.8"
"03 Jan 2018","","","","14325.16"
"02 Jan 2018","","","","14128.92"
"01 Jan 2018","","","","14231.23"
"29 Dec 2017","","","","14257.54"
"28 Dec 2017","","","","14106.25"
"27 Dec 2017","","","","14064.98"
"26 Dec 2017","","","","14153.36"
"22 Dec 2017","","","","14069.42"
"21 Dec 2017","","","","14009.78"
"20 Dec 2017","","","","13815.7"
"19 Dec 2017","","","","13735.1"
"18 Dec 2017","","","","13515.96"
"15 Dec 2017","","","","13470.48"
"14 Dec 2017","","","","13199.35"
"13 Dec 2017","","","","13206.47"
"12 Dec 2017","","","","13293.45"
"11 Dec 2017","","","","13442.04"
"08 Dec 2017","","","","13435.11"
"07 Dec 2017","","","","13197.71"
"06 Dec 2017","","","","12954.69"
"05 Dec 2017","","","","13069.26"
"04 Dec 2017","","","","13046.76"
"01 Dec 2017","","","","13097.12"
"30 Nov 2017","","","","13298.81"
"29 Nov 2017","","","","13352"
"28 Nov 2017","","","","13419.22"
"27 Nov 2017","","","","13453.13"
"24 Nov 2017","","","","13423.34"
"23 Nov 2017","","","","13393.26"
"22 Nov 2017","","","","13353.97"
"21 Nov 2017","","","","13393.01"
"20 Nov 2017","","","","13414.94"
"17 Nov 2017","","","","13328.55"
"16 Nov 2017","","","","13153.05"
"15 Nov 2017","","","","13000.81"
"14 Nov 2017","","","","13276.16"
"13 Nov 2017","","","","13320.34"
"10 Nov 2017","","","","13365.59"
"09 Nov 2017","","","","13351.39"
"08 Nov 2017","","","","13285.01"
"07 Nov 2017","","","","13475.21"
"06 Nov 2017","","","","13626.11"
"03 Nov 2017","","","","13659.35"
"02 Nov 2017","","","","13631.08"
"01 Nov 2017","","","","13576.86"
"31 Oct 2017","","","","13481.66"
"30 Oct 2017","","","","13453.63"
"27 Oct 2017","","","","13358.54"
"26 Oct 2017","","","","13312.85"
"25 Oct 2017","","","","13216.07"
"24 Oct 2017","","","","13401.34"
"23 Oct 2017","","","","13394.06"
"19 Oct 2017","","","","13353.8"
"18 Oct 2017","","","","13441.67"
